,NDVI,LST,BURNED_AREA,CLASS
1547,0.620853,14903.0,5.0,no_fire
224,0.431869,14617.725225,4.486446,no_fire
302,0.550011,15079.026316,5.0,fire
996,0.501604,14817.6875,4.375,no_fire
218,0.695231,14274.5,5.0,no_fire
436,0.439677,14765.448276,5.0,fire
1213,0.53076,14505.0,4.933333,no_fire
957,0.470658,14887.444444,4.95614,fire
1149,0.586548,13800.5,3.0,no_fire
863,0.562096,15199.886957,4.385507,fire
1189,0.519254,14615.92,5.0,no_fire
372,0.583612,14574.0,5.0,no_fire
295,0.507274,14241.182927,4.886957,no_fire
364,0.621461,14393.0,5.0,no_fire
728,0.65963,14918.0,5.0,no_fire
1450,0.518275,14296.0,4.0,no_fire
546,0.54554,14486.0,5.0,no_fire
1422,0.538924,14437.0,5.0,no_fire
402,0.424902,14812.0,4.93617,fire
927,0.538288,14199.5,4.6,no_fire
333,0.441966,15467.628355,4.902481,fire
529,0.626348,14063.12,5.0,no_fire
993,0.571627,14413.511409,4.915169,no_fire
399,0.660444,14550.375,4.615385,no_fire
828,0.41455,14174.875,4.5,no_fire
808,0.504656,14234.0,4.478261,no_fire
1651,0.650831,14770.0,5.0,no_fire
891,0.202542,13862.5,5.0,no_fire
563,0.601603,14788.5,3.0,no_fire
1596,0.35913,15518.5,6.727273,fire
672,0.608402,14199.0,3.666667,no_fire
1619,0.578275,14597.5,5.0,no_fire
570,0.600742,14700.0,3.0,fire
1246,0.499511,15001.666667,5.0,no_fire
1217,0.654341,14737.5,5.0,no_fire
579,0.529811,14861.067416,4.947826,no_fire
362,0.536492,14626.0,3.0,no_fire
1002,0.030735,13799.777778,4.888889,no_fire
458,0.556669,14858.173828,4.875347,no_fire
844,0.480901,14937.705882,5.0,fire
810,0.559031,14215.0,5.0,no_fire
549,0.58915,14143.5,4.888889,no_fire
597,0.663364,15017.111111,4.444444,no_fire
1644,0.585933,14323.0,3.0,no_fire
276,0.506841,14545.125,4.763458,no_fire
651,0.623532,14266.0,3.0,no_fire
184,0.618764,14971.777778,4.333333,no_fire
1151,0.500087,15088.579365,4.637681,fire
1256,0.516805,14544.911765,5.0,fire
896,0.639409,14601.0,5.0,no_fire
1588,0.584296,14501.666667,4.428571,no_fire
1136,0.509491,14912.790698,5.178049,fire
1558,0.57405,14341.0,5.0,fire
376,0.449513,15000.4,5.0,no_fire
1353,0.509227,14788.571429,4.934747,no_fire
923,0.52571,14454.838072,4.789261,no_fire
1268,0.409487,14986.907895,4.970339,no_fire
1587,0.508101,14543.0,4.928571,fire
567,0.4751,14361.0,5.0,no_fire
42,0.688404,14835.0,5.0,no_fire
1265,0.52779,14182.2,4.6,no_fire
1029,0.699442,14673.0,5.0,no_fire
895,0.736499,14804.0,5.0,no_fire
1403,0.515757,15304.43773,5.131377,fire
1631,0.709688,14407.5,3.0,no_fire
1285,0.607967,14394.0,4.0,fire
198,0.469593,14603.627451,4.470968,fire
309,0.680796,14908.8,5.142857,fire
829,0.541603,14482.285714,4.463768,no_fire
520,0.662241,14018.806452,4.804688,no_fire
1267,0.562626,14890.333333,3.0,no_fire
575,0.585315,15105.555556,4.555556,fire
1326,0.471562,14542.257557,4.935173,no_fire
1492,0.591245,14661.5,5.0,no_fire
655,0.619163,14816.0,4.0,no_fire
582,0.731072,14434.0,4.0,no_fire
420,0.483524,14703.447917,4.98783,fire
726,0.630556,13929.758065,4.891892,no_fire
535,0.630227,14815.555556,4.555556,no_fire
140,0.428883,14715.275,4.902542,no_fire
944,0.493649,14172.531915,4.526917,no_fire
831,0.587078,14726.386792,4.735849,no_fire
785,0.657366,14645.75,4.964286,no_fire
1489,0.644146,13736.181818,4.955375,no_fire
1708,0.621721,14406.0,5.0,no_fire
1695,0.585481,14526.9,4.2,no_fire
258,0.539537,14745.0,3.0,no_fire
907,0.635198,14647.0,5.0,no_fire
901,0.652463,15005.0,5.0,no_fire
861,0.538249,14531.56,5.0,no_fire
114,0.591742,14234.694444,4.947034,no_fire
241,0.587937,14218.0,5.0,no_fire
330,0.560194,14659.0,4.0,no_fire
1704,0.488384,14947.833333,4.666667,no_fire
56,0.717785,15054.0,5.0,no_fire
1183,0.60577,14505.0,4.761905,no_fire
411,0.453973,14853.0,5.0,no_fire
435,0.580911,15018.568627,4.686275,no_fire
1659,0.471562,14542.257557,4.935173,no_fire
1351,0.605401,14846.0,5.0,no_fire
1228,0.575046,14442.78,4.862745,no_fire
1439,0.497411,14970.0,4.982609,fire
1169,0.668928,14298.0,3.0,no_fire
